#Number of time steps: 0
#| level | p  | dx    | dt     | error (2-norm)  | error (sup-norm) | 
      1      1  0.5 0.2      2.35114       0.587785
      1      2  0.5 0.05      1.92532       0.466866
      1      3  0.5 0.0222222      0.769474       0.180951
      1      4  0.5 0.0125      0.0708733       0.0149226
      1      5  0.5 0.008      0.0295307       0.00567381
      1      6  0.5 0.00555556      0.00105721       0.000186173
      1      7  0.5 0.00408163      0.00042821       6.64649e-05
      1      8  0.5 0.003125      8.75349e-06       1.32377e-06
      1      9  0.5 0.00246914      3.88428e-06       5.28286e-07
      1      10  0.5 0.002      4.90277e-08       6.54793e-09
      1      11  0.5 0.00165289      2.19242e-08       2.66588e-09

      2      1  0.25 0.1      3.94498       0.622155
      2      2  0.25 0.025      0.637235       0.0966411
      2      3  0.25 0.0111111      0.0968352       0.0146246
      2      4  0.25 0.00625      0.00953064       0.00115975
      2      5  0.25 0.004      0.000748261       7.91805e-05
      2      6  0.25 0.00277778      4.84157e-05       4.78989e-06
      2      7  0.25 0.00204082      2.67757e-06       2.30246e-07
      2      8  0.25 0.0015625      1.31821e-07       1.0564e-08
      2      9  0.25 0.00123457      6.00709e-09       4.66552e-10
      2      10  0.25 0.001      5.28608e-10       2.18162e-11
      2      11  0.25 0.000826446      2.56937e-10       7.80472e-12

      3      1  0.125 0.05      3.10911       0.299235
      3      2  0.125 0.0125      0.18393       0.0164723
      3      3  0.125 0.00555556      0.0125989       0.00102311
      3      4  0.125 0.003125      0.000614866       4.40181e-05
      3      5  0.125 0.002      2.39725e-05       1.51183e-06
      3      6  0.125 0.00138889      7.58904e-07       4.32102e-08
      3      7  0.125 0.00102041      2.13503e-08       1.11318e-09
      3      8  0.125 0.00078125      6.54091e-10       3.0282e-11
      3      9  0.125 0.000617284      1.35486e-10       2.60382e-12
      3      10  0.125 0.0005      6.3404e-11       1.02408e-12
      3      11  0.125 0.000413223      3.23085e-11       4.76751e-13

      4      1  0.0625 0.025      1.87125       0.0866058
      4      2  0.0625 0.00625      0.0486181       0.00232423
      4      3  0.0625 0.00277778      0.00158012       6.54114e-05
      4      4  0.0625 0.0015625      3.84094e-05       1.40882e-06
      4      5  0.0625 0.001      7.51605e-07       2.46611e-08
      4      6  0.0625 0.000694444      1.1855e-08       3.48659e-10
      4      7  0.0625 0.000510204      1.90375e-10       4.53415e-12
      4      8  0.0625 0.000390625      3.90849e-11       4.32506e-13
      4      9  0.0625 0.000308642      1.67619e-11       1.50206e-13
      4      10  0.0625 0.00025      7.88336e-12       6.69464e-14
      4      11  0.0625 0.000206612      4.64759e-12       4.92939e-14

      5      1  0.03125 0.0125      0.991653       0.0223561
      5      2  0.03125 0.003125      0.012456       0.000304244
      5      3  0.03125 0.00138889      0.000197677       4.11865e-06
      5      4  0.03125 0.00078125      2.38114e-06       4.35625e-08
      5      5  0.03125 0.0005      2.34202e-08       3.8724e-10
      5      6  0.03125 0.000347222      1.80848e-10       2.5531e-12
      5      7  0.03125 0.000255102      1.3039e-11       8.32112e-14
      5      8  0.03125 0.000195313      5.55334e-12       4.58522e-14
