#  orderOfFe  i      t         max |u_analytic|  max |error_u|  max |error_rho|   ||error_u||_2   ||error_rho||_2	# order of FE   dt        init time (sec)             loop time (sec)         time for one iteration (sec)
# dt = 0.128	# dt = 0.128
4 312 39.936 0.0288675 0.00228221 1.71728e-09 0.000102112 8.06468e-11	4         0.128      0.011966     0.656023        0.00210264
6 312 39.936 0.0288675 0.0055974 4.73326e-10 0.000135268 8.54655e-12	6         0.128      0.035788     5.73476        0.0183806
8 312 39.936 0.0288675 0.00464981 2.87295e-09 9.43761e-05 3.88922e-11	8         0.128      0.092146     158.055        0.506588
	
# dt = 0.064	# dt = 0.064
4 625 40 0.0288675 0.00117267 6.85008e-14 5.23222e-05 8.34391e-15	4         0.064      0.009565     0.818287        0.00130926
6 625 40 0.0288675 0.00254304 8.68246e-10 6.12991e-05 1.64582e-11	6         0.064      0.028095     5.30543        0.00848869
8 625 40 0.0288675 0.000847784 7.01544e-10 1.721e-05 7.24425e-12	8         0.064      0.087642     99.6482        0.159437
10 625 40 0.0288675 0.00181328 3.92454e-10 2.05087e-05 2.59073e-12	10         0.064      0.24691     337.566        0.540105
	
# dt = 0.032	# dt = 0.032
4 1250 40 0.0288675 0.000865008 1.36779e-13 3.87305e-05 1.64957e-14	4         0.032      0.00993     1.11188        0.000889505
6 1250 40 0.0288675 0.00156283 1.45772e-13 3.79609e-05 1.17126e-14	6         0.032      0.028843     6.81171        0.00544937
8 1250 40 0.0288675 0.000161857 1.47549e-13 3.6337e-06 8.64077e-15	8         0.032      0.088999     99.6746        0.0797397
10 1250 40 0.0288675 0.000666025 8.16047e-10 8.4634e-06 6.32321e-12	10         0.032      0.246953     317.465        0.253972
12 1250 40 0.0288675 0.000449312 2.36842e-09 5.20156e-06 1.06995e-11	12         0.032      0.630319     744.819        0.595855
14 1250 40 0.0288675 0.00060226 1.94367e-08 4.50738e-06 3.73931e-11	14         0.032      1.59238     1700.61        1.36049
	
# dt = 0.016	# dt = 0.016
4 2500 40 0.0288675 0.00078767 2.62235e-13 3.5293e-05 3.206e-14	4         0.016      0.009659     1.87286        0.000749142
6 2500 40 0.0288675 0.00129388 2.81108e-13 3.16352e-05 2.26717e-14	6         0.016      0.028409     8.3154        0.00332616
8 2500 40 0.0288675 0.000404738 2.84217e-13 6.41543e-06 1.71229e-14	8         0.016      0.086865     119.067        0.0476266
10 2500 40 0.0288675 0.000262553 2.87659e-13 3.77631e-06 1.38633e-14	10         0.016      0.251562     325.838        0.130335
12 2500 40 0.0288675 0.000102272 2.74297e-09 1.06219e-06 9.78e-12	12         0.016      0.644536     756.77        0.302708
14 2500 40 0.0288675 0.000174425 3.41507e-09 1.24794e-06 9.03953e-12	14         0.016      1.58403     1690.12        0.676047
	
# dt = 0.008	# dt = 0.008
4 5000 40 0.0288675 0.000768014 5.49005e-13 3.44791e-05 6.72643e-14	4         0.008      0.010292     3.0072        0.000601441
6 5000 40 0.0288675 0.00122602 5.43898e-13 3.0045e-05 4.47628e-14	6         0.008      0.029339     13.8765        0.0027753
8 5000 40 0.0288675 0.000463211 5.57887e-13 7.39278e-06 3.41538e-14	8         0.008      0.089087     169.971        0.0339941
10 5000 40 0.0288675 0.000152585 5.70211e-13 2.41107e-06 2.75165e-14	10         0.008      0.254086     430.785        0.0861571
12 5000 40 0.0288675 6.22528e-05 1.67489e-09 5.80458e-07 9.21588e-12	12         0.008      0.655006     940.026        0.188005
14 5000 40 0.0288675 5.38004e-05 2.41106e-10 3.9885e-07 6.91739e-13	14         0.008      3.06391     1972.23        0.394446
	
# dt = 0.004	# dt = 0.004
