#  orderOfFe  i      t         max |u_analytic|  max |error_u|  max |error_rho|   ||error_u||_2   ||error_rho||_2	# order of FE   dt        init time (sec)             loop time (sec)         time for one iteration (sec)
# dt = 0.032	# dt = 0.032
4 1250 40 0.0288675 0.00161554 1.40887e-13 4.06208e-05 8.54026e-15	4         0.032      0.027086     4.6097        0.00368776
	
# dt = 0.016	# dt = 0.016
4 2500 40 0.0288675 0.00181562 2.72227e-13 3.84592e-05 1.66348e-14	4         0.016      0.022193     9.779        0.0039116
6 2500 40 0.0288675 0.0141772 2.87437e-13 0.000189764 1.14609e-14	6         0.016      0.089028     41.2374        0.016495
	
# dt = 0.008	# dt = 0.008
4 5000 40 0.0288675 0.00175741 5.36682e-13 3.65252e-05 3.29776e-14	4         0.008      0.023991     19.8147        0.00396294
6 5000 40 0.0288675 0.000569176 5.55445e-13 5.07767e-06 2.26185e-14	6         0.008      0.084413     80.9676        0.0161935
8 5000 40 0.0288675 0.00237082 5.60885e-13 2.39877e-05 1.71175e-14	8         0.008      0.257168     216.151        0.0432302
	
# dt = 0.004	# dt = 0.004
4 10000 40 0.0288675 0.00168423 1.01719e-12 3.01081e-05 6.28183e-14	4         0.004      0.022907     39.7498        0.00397498
6 10000 40 0.0288675 0.000446777 1.08236e-12 3.85367e-06 4.43099e-14	6         0.004      0.08426     161.202        0.0161202
8 10000 40 0.0288675 7.15491e-05 1.15186e-12 7.25272e-07 3.38811e-14	8         0.004      0.257715     433.83        0.043383
10 10000 40 0.0288675 4.96182e-05 1.11466e-12 2.14861e-07 2.72579e-14	10         0.004      0.69688     954.198        0.0954198
12 10000 40 0.0288675 0.00133508 1.109e-12 1.24286e-05 2.26091e-14	12         0.004      2.09673     1870.63        0.187063
	
# dt = 0.002	# dt = 0.002
4 20000 40 0.0288675 0.00164262 1.90792e-12 2.68456e-05 1.18476e-13	4         0.002      0.023365     79.177        0.00395885
6 20000 40 0.0288675 0.000463033 2.14628e-12 3.98066e-06 8.82917e-14	6         0.002      0.089007     325.111        0.0162556
8 20000 40 0.0288675 6.33449e-05 2.08766e-12 5.54648e-07 6.38871e-14	8         0.002      0.253892     867.425        0.0433712
10 20000 40 0.0288675 1.1359e-05 2.13218e-12 5.61705e-08 5.23428e-14	10         0.002      0.721007     1902.25        0.0951126
12 20000 40 0.0288675 1.02999e-05 2.16571e-12 3.52825e-08 4.38434e-14	12         0.002      1.61244     3721.3        0.186065
14 20000 40 0.0288675 7.95904e-06 2.15161e-12 2.70674e-08 3.7425e-14	14         0.002      3.92449     6617.41        0.330871
	
# dt = 0.001	# dt = 0.001
4 40000 40 0.0288675 0.0016291 3.79263e-12 2.61142e-05 2.33291e-13	4         0.001      0.028241     158.586        0.00396464
6 40000 40 0.0288675 0.000470918 3.79863e-12 4.03561e-06 1.5529e-13	6         0.001      0.086556     635.448        0.0158862
8 40000 40 0.0288675 5.89159e-05 3.92408e-12 4.85112e-07 1.21202e-13	8         0.001      0.352825     1723.65        0.0430911
10 40000 40 0.0288675 1.05536e-05 4.03266e-12 6.02e-08 9.91358e-14	10         0.001      0.714706     3795.53        0.0948883
12 40000 40 0.0288675 4.13424e-06 4.02023e-12 1.35224e-08 8.23181e-14	12         0.001      1.65533     7433.35        0.185834
14 40000 40 0.0288675 1.99893e-06 4.0683e-12 6.70113e-09 7.10959e-14	14         0.001      10.9336     13177.4        0.329434
	
# dt = 0.0005	# dt = 0.0005
4 80000 40 0.0288675 0.00162547 6.11544e-12 2.59545e-05 3.78618e-13	4         0.0005      0.117397     312.005        0.00390006
6 80000 40 0.0288675 0.000473471 6.18128e-12 4.05413e-06 2.55673e-13	6         0.0005      0.185526     1263.9        0.0157988
8 80000 40 0.0288675 5.78614e-05 6.52678e-12 4.6565e-07 2.02406e-13	8         0.0005      0.356853     3423.46        0.0427932
10 80000 40 0.0288675 1.20438e-05 6.89104e-12 6.34972e-08 1.71125e-13	10         0.0005      1.29506     7554.95        0.0944369
12 80000 40 0.0288675 2.62042e-06 7.14151e-12 9.23255e-09 1.47189e-13	12         0.0005      2.32457     14772.6        0.184657
14 80000 40 0.0288675 4.92719e-07 7.27862e-12 1.937e-09 1.2875e-13	14         0.0005      10.0379     26027.5        0.325344
	
# dt = 0.00025	# dt = 0.00025
4 160000 40 0.0288675 0.00162455 7.75435e-12 2.59164e-05 4.79946e-13	4         0.00025      0.792378     626.542        0.00391589
6 160000 40 0.0288675 0.000474168 9.36295e-12 4.0598e-06 3.86074e-13	6         0.00025      0.502793     2530.15        0.0158134
8 160000 40 0.0288675 5.76193e-05 1.00971e-11 4.62093e-07 3.10282e-13	8         0.00025      0.895554     6820.84        0.0426303
10 160000 40 0.0288675 1.24238e-05 1.07137e-11 6.45406e-08 2.64093e-13	10         0.00025      1.20115     15105        0.0944065
12 160000 40 0.0288675 2.24582e-06 1.0679e-11 8.47437e-09 2.17771e-13	12         0.00025      2.8352     29302.9        0.183143
14 160000 40 0.0288675 2.66222e-07 1.06887e-11 1.2272e-09 1.88979e-13	14         0.00025      15.0794     51294.9        0.320593
	
# dt = 0.000125	# dt = 0.000125
4 320000 40 0.0288675 0.00162432 1.22211e-11 2.59071e-05 7.58269e-13	4         0.000125      0.181768     1264.72        0.00395224
6 320000 40 0.0288675 0.000474346 1.36052e-11 4.06132e-06 5.58166e-13	6         0.000125      0.746438     5062.47        0.0158202
8 320000 40 0.0288675 5.75607e-05 1.59109e-11 4.61384e-07 4.86501e-13	8         0.000125      0.901539     13602.4        0.0425076
