# order of FE   dt        init time (sec)             loop time (sec)         time for one iteration (sec)
# dt = 0.032
4         0.032      0.027086     4.6097        0.00368776

# dt = 0.016
4         0.016      0.022193     9.779        0.0039116
6         0.016      0.089028     41.2374        0.016495

# dt = 0.008
4         0.008      0.023991     19.8147        0.00396294
6         0.008      0.084413     80.9676        0.0161935
8         0.008      0.257168     216.151        0.0432302

# dt = 0.004
4         0.004      0.022907     39.7498        0.00397498
6         0.004      0.08426     161.202        0.0161202
8         0.004      0.257715     433.83        0.043383
10         0.004      0.69688     954.198        0.0954198
12         0.004      2.09673     1870.63        0.187063

# dt = 0.002
4         0.002      0.023365     79.177        0.00395885
6         0.002      0.089007     325.111        0.0162556
8         0.002      0.253892     867.425        0.0433712
10         0.002      0.721007     1902.25        0.0951126
12         0.002      1.61244     3721.3        0.186065
14         0.002      3.92449     6617.41        0.330871

# dt = 0.001
4         0.001      0.028241     158.586        0.00396464
6         0.001      0.086556     635.448        0.0158862
8         0.001      0.352825     1723.65        0.0430911
10         0.001      0.714706     3795.53        0.0948883
12         0.001      1.65533     7433.35        0.185834
14         0.001      10.9336     13177.4        0.329434

# dt = 0.0005
4         0.0005      0.117397     312.005        0.00390006
6         0.0005      0.185526     1263.9        0.0157988
8         0.0005      0.356853     3423.46        0.0427932
10         0.0005      1.29506     7554.95        0.0944369
12         0.0005      2.32457     14772.6        0.184657
14         0.0005      10.0379     26027.5        0.325344

# dt = 0.00025
4         0.00025      0.792378     626.542        0.00391589
6         0.00025      0.502793     2530.15        0.0158134
8         0.00025      0.895554     6820.84        0.0426303
10         0.00025      1.20115     15105        0.0944065
12         0.00025      2.8352     29302.9        0.183143
14         0.00025      15.0794     51294.9        0.320593

# dt = 0.000125
4         0.000125      0.181768     1264.72        0.00395224
6         0.000125      0.746438     5062.47        0.0158202
8         0.000125      0.901539     13602.4        0.0425076
