Brenner-Ref1024-cfg1.e12729:user	0m56.337s
Brenner-Ref1024-cfg2.e12730:user	15m0.508s
Brenner-Ref1024-cfg3.e12731:user	2m9.648s
Brenner-Ref1024-cfg4.e12732:user	1m1.521s
Brenner-Ref1024-cfg5.e12733:user	14m10.639s
Brenner-Ref128-cfg1.e12714:user	0m3.237s
Brenner-Ref128-cfg2.e12715:user	0m31.474s
Brenner-Ref128-cfg3.e12716:user	0m2.975s
Brenner-Ref128-cfg4.e12717:user	0m3.508s
Brenner-Ref128-cfg5.e12718:user	0m17.143s
Brenner-Ref256-cfg1.e12719:user	0m18.029s
Brenner-Ref256-cfg2.e12720:user	1m46.551s
Brenner-Ref256-cfg3.e12721:user	0m17.532s
Brenner-Ref256-cfg4.e12722:user	0m23.872s
Brenner-Ref256-cfg5.e12723:user	1m59.370s
Brenner-Ref32-cfg1.e12704:user	0m0.731s
Brenner-Ref32-cfg2.e12705:user	0m0.625s
Brenner-Ref32-cfg3.e12706:user	0m1.539s
Brenner-Ref32-cfg4.e12707:user	0m0.176s
Brenner-Ref32-cfg5.e12708:user	0m0.625s
Brenner-Ref512-cfg1.e12724:user	2m40.434s
Brenner-Ref512-cfg2.e12725:user	12m33.722s
Brenner-Ref512-cfg3.e12726:user	2m8.594s
Brenner-Ref512-cfg4.e12727:user	3m17.061s
Brenner-Ref512-cfg5.e12728:user	17m8.694s
Brenner-Ref64-cfg1.e12709:user	0m0.549s
Brenner-Ref64-cfg2.e12710:user	0m4.840s
Brenner-Ref64-cfg3.e12711:user	0m0.699s
Brenner-Ref64-cfg4.e12712:user	0m0.684s
Brenner-Ref64-cfg5.e12713:user	0m3.493s
